ort,datum,organisator,location,bewertung,catering_inkl, catering, referent1, referent2, referent3
Zuerich, 18.01.2018, Open Data Zürich, Karl der Grosse,,,,,,
Zuerich,12.04.2018, Statistischen Amt des Kantons Zürich & Fach- und Koordinationsstelle OGD, Ahnengalerie des Kantons Zürich,,,,Matthias Mazenauer - Metadaten, Water fountains,
Basel,20.06.2018, Staatskanzlei Basel Stadt,,,,,Jonas Bieri - Linked Open Data, App Lab Basel,
Bern, 15.08.2018,SBB, SBB,,,,Christian Trachsel - Open Data bei der SBB,,
Thurgau,25.10.2018, Kanton Thurgau, Brauhaus Frauenfeld,,,,Ulrike Baldenweg, Thomas Mathis,
Rapperswil-Jona, 12.02.2019,Stadt Rapperswil-Jona, Schloss Rapperswil,,,,Mario Göldi (Stadt Rapperswil-Jona), Christian Geiger (Stadt St. Gallen),
,2.04.2019, LIIP AG,,,,,LIIP AG,,
Basel,04.09.2019, Fachstelle für Open Government Data des Kantons Basel Stadt,  Smart City Lab Basel,,,,Johannes Kliemann & Kilian Koeltzsch Entwickler der App «ParkenDD»,,
Zuerich, 26.11.2019, Statistischen Amt des Kantons Zürich & Fach- und Koordinationsstelle OGD, Viadukt,,,,Tomas Carnecky, Katharina Kälin - Statistisches Amt Zürich,
Zuerich, 05.02.2020, Open Data Zürich, Smart City Lab,,,, Margot Gagliani - Smart City Zürich, Gerhard Schrotter - Direktor Geomatik + Vermessung Stadt Zürich , Lisa Stähli- Open Data in der Softwareentwicklung 
Zuerich, 05.04.2022, Statistischen Amt des Kantons Zürich & Fach- und Koordinationsstelle OGD, Viadukt Bogen D,,ja,,,,,
